id,name
alfa_romeo,ALFA ROMEO
aston_martin_lagonda_ltd,Aston Martin Lagonda Ltd
audi,Audi
bmw,BMW
dodge,Dodge
ferrari,Ferrari
honda,Honda
jaguar,Jaguar
lamborghini,Lamborghini
mazda,MAZDA
mclaren,McLaren
mercedes_benz,Mercedes-Benz
nissan,NISSAN
pagani_automobili,Pagani Automobili S.p.A.
porsche,Porsche
fiat,FIAT
mini,Mini
scion,SCION
subaru,Subaru
bentley,Bentley
buick,Buick
ford,Ford
hyundai_motor_company,HYUNDAI MOTOR COMPANY
lexus,LEXUS
maserati,MASERATI
roush,Roush
volkswagen,Volkswagen
acura,Acura
cadillac,Cadillac
infiniti,INFINITI
kia_motors_corporation,KIA MOTORS CORPORATION
mitsubishi_motors_corporation,Mitsubishi Motors Corporation
rolls_royce_motor_cars_limited,Rolls-Royce Motor Cars Limited
toyota,TOYOTA
volvo,Volvo
chrysler,Chrysler
lincoln,Lincoln
gmc,GMC
ram,RAM
chevrolet,CHEVROLET
jeep,Jeep
land_rover,Land Rover
